Shelter Name,Service Provider,Address,Clean Address,Postal Code,Latitude,Longitude,Google Maps Link,Google Directions Link,Website,ResultCard Description,ResultCard Description Full,Phone 1,Phone 2,Email
1660 Shelter,Vancouver Aboriginal Friendship Centre Society (VAFCS),"1660 East Hastings Street, Vancouver, BC V5L 1S6","1660 East Hastings Street, Vancouver, BC",V5L 1S6,49.2809944,-123.07150756851458,"https://www.google.com/maps/search/?api=1&query=1660+East+Hastings+Street,+Vancouver,+BC+V5L+1S6","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1660+East+Hastings+Street,+Vancouver,+BC+V5L+1S6",https://www.vafcs.org,"Provides year-round, low-barrier, 24-hour emergency housing, with 65 beds for all genders ages 19 and up.","Provides year-round, low-barrier, 24-hour emergency housing, with 65 beds for all genders ages 19 and up. Services include breakfast and dinner, on-site showers, personal hygiene products, first aid, and access to local calling; can also act as a mailing address for incoming mail. Free clothing is offered when supplies are available. Bus tickets are available for essential appointments. Arrangements for SafeRide can be made for those that must leave the shelter and feel unsafe walking to their destination. A scheduled nurse, pediatric doctor and Indigenous healers visit the shelter on a biweekly basis. Residents have access to counselling through the agency when needed. Storage is limited to personal items that can fit into storage bins. Service animals and pets are welcome, but pets need to be on a leash preferably in a portable cage. Zero tolerance for drugs or alcohol on the property. Accepts inebriated individuals on condition of respectful behaviour. Zero-tolerance to harassment, intimidation, and violence of any form toward guests and staff.No maximum stay as long as residents follow the shelter guidelines. Sign-up begins at 3 pm daily on a first-come, first-served basis. Curfew is at 11 pm; guests must be off the premises by 10 am the following morning. Facility is wheelchair accessible. Office hours are 9 am to 5 pm Monday to Friday. Funded by BC Housing and the Aboriginal Housing Management Association (AHMA).",604-428-3625,604-423-6046 Local 409,shelter@vafcs.org
3030 Gordon - Shelter,RainCity Housing and Support Society,"3030 Gordon Avenue, Coquitlam, BC V3C 2K7","3030 Gordon Avenue, Coquitlam, BC",V3C 2K7,49.27016925,-122.7918438,"https://www.google.com/maps/search/?api=1&query=3030+Gordon+Avenue,+Coquitlam,+BC+V3C+2K7","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=3030+Gordon+Avenue,+Coquitlam,+BC+V3C+2K7",https://www.raincityhousing.org/about/program,Year-round temporary shelter with 30 beds for adults of any gender ages 19 and over.,"Year-round temporary shelter with 30 beds for adults of any gender ages 19 and over. 24-hour staffing with support services include three meals per day, shower and laundry facilities, drop-in doctors and nurses providing wound and medical care, and other service providers as needed. Guests share a four-bed dorm with possibility of moving into a private room if space is available. Length of stay is 90 days. Storage for bicycles is available. Wheelchair accessible. Pets are allowed.",604-474-0435,N/A,3030front@raincityhousing.org
ARC Emergency Shelter,The Salvation Army - BC Division,"Addictions and Rehabilitation Centre (ARC), 525 Johnson Street,Victoria, BC V8W 1M2","525 Johnson Street,Victoria, BC",V8W 1M2,48.4275867,-123.3697024,"https://www.google.com/maps/search/?api=1&query=Addictions+and+Rehabilitation+Centre+(ARC),+525+Johnson+Street,Victoria,+BC+V8W+1M2","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=Addictions+and+Rehabilitation+Centre+(ARC),+525+Johnson+Street,Victoria,+BC+V8W+1M2",https://www.victoriaarc.org,Offers 54 emergency shelter beds for men (cisgender and transgender)and support services including drug and alcohol recovery.,Offers 54 emergency shelter beds for men (cisgender and transgender)and support services including drug and alcohol recovery. Not wheelchair accessible. Cannot accommodate pets. Intake hours are 1 pm to 6 pm. Calling in advance is welcomed. Funded by BC Housing.,250-384-3396 Local 1,N/A,brenda.wadey@salvationarmy.ca
Abbotsford Food for the Soul Project,Food for the Soul Project Society,"2155 McKenzie Road, Abbotsford, BC V2S 3Z9","2155 McKenzie Road, Abbotsford, BC",V2S 3Z9,49.0410248,-122.28277538912387,"https://www.google.com/maps/search/?api=1&query=2155+McKenzie+Road,+Abbotsford,+BC+V2S+3Z9","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=2155+McKenzie+Road,+Abbotsford,+BC+V2S+3Z9",https://www.fftsp.org,Provides a variety of services in Abbotsford for individuals age 18 and over with addictions or mental health issues.,"Provides a variety of services in Abbotsford for individuals age 18 and over with addictions or mental health issues. Also assists those who are low income or experiencing homelessness. Services include free addictions counselling, primary care, groceries, clothing, housing and shelter referrals, and a volunteer-run support group for depression and/or anxiety. Hours are 10 am to 4 pm Monday to Friday.",604-746-9797,N/A,info@fftsp.org
Aboriginal Shelter,Vancouver Aboriginal Friendship Centre Society (VAFCS),"201 Central Street, Vancouver, BC V6A 4A9","201 Central Street, Vancouver, BC",V6A 4A9,49.2711748,-123.0987015,"https://www.google.com/maps/search/?api=1&query=201+Central+Street,+Vancouver,+BC+V6A+4A9","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=201+Central+Street,+Vancouver,+BC+V6A+4A9",https://www.vafcs.org,An emergency low-barrier shelter that accommodates up to 55 men ages 19 and over.,"An emergency low-barrier shelter that accommodates up to 55 men ages 19 and over.  Accepts cisgender and transgender men. Open at 3 pm on a first-come, first-served basis; curfew is at 11 pm and shelter closes at 10 am. Provides a hot dinner around 6:15 pm, and a sandwich/snack for breakfast after 8 am. Also provides personal hygiene supplies. Storage available for 50 lbs or less of personal items; no space for storage of carts or bikes. Zero tolerance for violence or use of alcohol or illegal drugs. Pets are permitted in kennels on a case-by-case basis; aggressive dogs must be muzzled. Wheelchair accessible. Receives funding from BC Housing and City of Vancouver.",604-682-5556,N/A,201shelter@vafcs.org
Aboriginal Youth Safehouse,Urban Native Youth Association (UNYA),No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://unya.bc.ca/programs/aboriginal-youth-safehouse,"A voluntary, short-term, live-in program for seven youth ages 16 to 18 of all backgrounds who do not have a safe place to stay.","A voluntary, short-term, live-in program for seven youth ages 16 to 18 of all backgrounds who do not have a safe place to stay. Youth workers connect residents to resources, assist with goal planning, and help youth move on to safe, stable, long-term housing, with new connections to community resources for ongoing stability and support. Provides meals and snacks; help finding work, training, and school programs; visits from counsellors and a nurse practitioner; support from UNYA’s Transition team; access to clothing and personal care items; bus tickets; and connection to Indigenous culture through teachings, arts and crafts, visits from Elders, and opportunities to learn about and participate in ceremony and smudging. Referrals accepted from youth or from service providers 24 hours a day, seven days a week.",604-254-5147,1-877-223-4321,safehouse.manager@unya.bc.ca
Al Mitchell Place,Lookout Housing and Health Society,"346 Alexander Street, Vancouver, BC V6A 1C3","346 Alexander Street, Vancouver, BC",V6A 1C3,49.2835107,-123.103694,"https://www.google.com/maps/search/?api=1&query=346+Alexander+Street,+Vancouver,+BC+V6A+1C3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=346+Alexander+Street,+Vancouver,+BC+V6A+1C3",https://lookoutsociety.ca,A 24-hour emergency centre that provides temporary accommodation and support to men who have no other housing options.,"A 24-hour emergency centre that provides temporary accommodation and support to men who have no other housing options. Also has 16 beds by referral only from Vancouver Coastal Health for patients who are leaving hospital and need a place to stay; women also accepted. In addition to meals and shelter, staff address issues such as housing, finances, and treatment for addiction or mental/physical ailments, through crisis counselling, case planning, and referral or liaison services. Health-related services include medication management, wound care, home care through referral, and oxygen tank storage. Pets are welcome. Wheelchair accessible.",604-681-9126,N/A,dtshelter@lookoutsociety.ca
Alexandra Gardner Women and Children Safe Centre,New Opportunities for Women (NOW) Canada Society,"1069 Gordon Drive, Kelowna, BC V1Y 3E3","1069 Gordon Drive, Kelowna, BC",V1Y 3E3,49.8415579,-119.4823953,"https://www.google.com/maps/search/?api=1&query=1069+Gordon+Drive,+Kelowna,+BC+V1Y+3E3","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=1069+Gordon+Drive,+Kelowna,+BC+V1Y+3E3",https://www.nowcanada.ca/vendors,A low-barrier 20-bed homeless shelter for women (including transgender women) and their children; offers one family room.,"A low-barrier 20-bed homeless shelter for women (including transgender women) and their children; offers one family room. Services include counselling, case management, meals, laundry facilities, toiletries, clothing, and referrals to other community service providers and resources. Staffed 24 hours daily. Substance use is not permitted on site. Maximum length of stay is 90 days. Wheelchair accessible. Limited pets accepted.",250-763-2262,N/A,safecentre@nowcanada.ca
All Nations Youth Safe House (ANYSH),Fraser Region Aboriginal Friendship Centre Association (FRAFCA),No  address available,No  address available,N/A,,,https://www.google.com/maps/search/?api=1&query=No++address+available,https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=No++address+available,https://www.frafca.org,"Safe house with six beds and meals for at-risk male, female, and transgender youth, ages 15 to 18, of all nations and ethnicities.","Safe house with six beds and meals for at-risk male, female, and transgender youth, ages 15 to 18, of all nations and ethnicities. Provides a supportive and nonjudgmental environment that empowers youth to define their own identity, achieve healthy self-determined goals, and create their own holistic state of well-being, while encouraging positive family and community connections. House is staffed 24 hours a day including holidays, but there is a nightly curfew. Youth must be working on goals, such as going to school, working, or reconnecting with family during their stay at the house; length of stay is seven to 30 days. Support services include provision of toiletries, access to a computer and phone, housing and job search form completion assistance, ongoing staff support, referrals to resources, and networking with other services. Amenities include a television, video games, and an iPad. Accepts referrals from self or other. No drug use at the safe house. No pets. Wheelchair accessible but with limited capacity. Funded by Ministry of Children and Family Development (MCFD), and licensed by Fraser Health Authority.",604-584-2625,N/A,samantha.work@frafca.org
Anchor of Hope Temporary Shelter,The Salvation Army - BC Division,"119 East Cordova Street, Vancouver, BC V6A 1K8","119 East Cordova Street, Vancouver, BC",V6A 1K8,49.2821613,-123.093393,"https://www.google.com/maps/search/?api=1&query=119+East+Cordova+Street,+Vancouver,+BC+V6A+1K8","https://www.google.com/maps/dir/?api=1&origin=Current+Location&destination=119+East+Cordova+Street,+Vancouver,+BC+V6A+1K8",https://www.vancouverharbourlightsa.ca/shelters,"Provides seasonal, low-barrier, overnight emergency housing on mats for 40 homeless adults of any gender (separate area for women) from October 1st to March 31st.","Provides seasonal, low-barrier, overnight emergency housing on mats for 40 homeless adults of any gender (separate area for women) from October 1st to March 31st. Provides sandwiches and snack on intake, and coffee and bagged lunch in the morning. Behaviour-based, low-barrier shelter, with no alcohol or drug use on the premises. Services include information and referral, first aid, and support. Storage space for carts and bicycles is not available. Pets cannot be accommodated. Not wheelchair accessible. No maximum stay. Shelter hours are 9 pm to 7 am; no admissions past 1 am.",604-833-2142,N/A,anchor@harbourlightbc.com
